"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"15/01/2024","6.500","6.575","6.625","6.475","83,07M","-1,14%"
"12/01/2024","6.575","6.575","6.675","6.525","114,04M","1,94%"
"11/01/2024","6.450","6.425","6.500","6.400","41,46M","0,39%"
"10/01/2024","6.425","6.375","6.450","6.325","50,02M","0,78%"
"09/01/2024","6.375","6.425","6.450","6.350","77,95M","-0,39%"
"08/01/2024","6.400","6.500","6.600","6.375","151,02M","-0,39%"
"05/01/2024","6.425","6.400","6.475","6.350","114,34M","1,18%"
"04/01/2024","6.350","6.125","6.400","6.100","152,51M","4,10%"
"03/01/2024","6.100","6.100","6.150","6.050","30,05M","-0,41%"
"02/01/2024","6.125","6.050","6.125","6.025","26,24M","1,24%"
"29/12/2023","6.050","6.125","6.125","6.000","63,10M","-1,22%"
"28/12/2023","6.125","6.050","6.150","6.000","75,12M","2,08%"
"27/12/2023","6.000","6.000","6.025","5.925","48,70M","0,42%"
"22/12/2023","5.975","5.950","5.975","5.925","29,98M","0,00%"
"21/12/2023","5.975","5.950","5.975","5.925","50,36M","0,84%"
"20/12/2023","5.925","5.900","5.975","5.900","65,36M","-0,84%"
"19/12/2023","5.975","5.950","5.975","5.925","54,00M","0,84%"
"18/12/2023","5.925","5.850","5.950","5.850","101,46M","0,42%"
"15/12/2023","5.900","5.950","6.000","5.900","142,38M","-0,84%"
"14/12/2023","5.950","5.825","6.025","5.800","189,38M","3,93%"
"13/12/2023","5.725","5.750","5.775","5.700","121,45M","-1,29%"
"12/12/2023","5.800","5.800","5.825","5.750","55,11M","0,43%"
"11/12/2023","5.775","5.650","5.800","5.650","68,66M","1,32%"
"08/12/2023","5.700","5.750","5.775","5.650","98,04M","-0,87%"
"07/12/2023","5.750","5.800","5.825","5.725","97,97M","-0,86%"
"06/12/2023","5.800","5.925","5.950","5.800","88,75M","-2,93%"
"05/12/2023","5.975","6.000","6.000","5.875","58,67M","-0,42%"
"04/12/2023","6.000","5.925","6.025","5.900","66,16M","1,69%"
"01/12/2023","5.900","5.850","5.900","5.825","31,37M","0,85%"
"30/11/2023","5.850","5.850","5.925","5.825","117,37M","0,00%"
"29/11/2023","5.850","5.850","5.925","5.825","36,80M","-0,85%"
"28/11/2023","5.900","5.900","5.925","5.875","58,26M","0,00%"
"27/11/2023","5.900","5.900","5.925","5.875","39,72M","0,43%"
"24/11/2023","5.875","5.925","5.925","5.850","33,28M","-0,42%"
"23/11/2023","5.900","5.950","5.950","5.900","36,73M","0,43%"
"22/11/2023","5.875","5.825","5.900","5.825","21,11M","0,00%"
"21/11/2023","5.875","5.850","5.925","5.825","55,09M","0,00%"
"20/11/2023","5.875","5.825","5.925","5.825","27,06M","-0,42%"
"17/11/2023","5.900","5.875","5.950","5.850","33,96M","-0,42%"
"16/11/2023","5.925","5.850","5.925","5.825","54,30M","0,00%"
"15/11/2023","5.925","5.900","5.975","5.875","74,26M","1,72%"
"14/11/2023","5.825","5.825","5.900","5.800","50,59M","0,00%"
"13/11/2023","5.825","5.850","5.850","5.800","22,08M","0,87%"
"10/11/2023","5.775","5.850","5.850","5.775","59,61M","-1,70%"
"09/11/2023","5.875","5.825","5.900","5.800","45,03M","0,43%"
"08/11/2023","5.850","5.775","5.850","5.725","63,55M","-0,43%"
"07/11/2023","5.875","5.950","5.975","5.800","56,16M","-0,84%"
"06/11/2023","5.925","5.900","5.925","5.850","58,27M","1,72%"
"03/11/2023","5.825","5.925","5.975","5.825","53,38M","-1,27%"
"02/11/2023","5.900","5.750","5.925","5.725","115,68M","4,42%"
"01/11/2023","5.650","5.700","5.700","5.625","74,28M","-0,44%"
"31/10/2023","5.675","5.800","5.850","5.650","99,45M","-0,87%"
"30/10/2023","5.725","5.700","5.725","5.625","81,55M","0,44%"
"27/10/2023","5.700","5.750","5.775","5.700","90,18M","0,00%"
"26/10/2023","5.700","5.800","5.850","5.700","86,35M","-2,56%"
"25/10/2023","5.850","5.825","5.900","5.775","90,43M","1,74%"
"24/10/2023","5.750","5.700","5.800","5.675","72,47M","1,32%"
"23/10/2023","5.675","5.700","5.725","5.625","73,90M","-1,30%"
"20/10/2023","5.750","5.675","5.800","5.650","98,53M","0,44%"
"19/10/2023","5.725","5.775","5.800","5.700","160,28M","-2,14%"
"18/10/2023","5.850","5.925","5.950","5.825","91,87M","-2,50%"
"17/10/2023","6.000","6.000","6.025","5.925","74,70M","-0,41%"
"16/10/2023","6.025","6.025","6.075","5.975","60,41M","-0,82%"
"13/10/2023","6.075","6.075","6.150","6.025","39,91M","0,00%"
"12/10/2023","6.075","6.075","6.175","6.050","91,34M","0,41%"
"11/10/2023","6.050","5.950","6.175","5.950","72,96M","0,83%"
"10/10/2023","6.000","5.900","6.075","5.900","48,85M","1,69%"
"09/10/2023","5.900","6.025","6.050","5.900","45,32M","-2,07%"
"06/10/2023","6.025","6.150","6.150","6.025","25,91M","-1,63%"
"05/10/2023","6.125","6.150","6.200","6.100","69,57M","0,00%"
"04/10/2023","6.125","6.075","6.125","5.975","69,15M","0,82%"
"03/10/2023","6.075","6.000","6.075","6.000","37,14M","0,41%"
"02/10/2023","6.050","6.025","6.100","6.025","33,30M","0,41%"
"29/09/2023","6.025","6.050","6.050","6.000","71,56M","0,42%"
